 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
469.722	19.9591
459.935	23.5025
446.857	28.2541
424.481	32.1763
407.279	35.0812
384.623	39.4276
367.543	44.3597
356.174	47.1577
339.83	50.399
316.581	53.2785
293.851	57.2187
279.191	59.826
261.345	64.2184
238.304	70.8364
214.24	75.7871
194.425	82.5144
182.64	85.5565
171.4	88.4589
150.963	94.7388
149.791	100.992
148.41	122.835
143.637	142.491
152.035	153.335
170.239	168.268
174.282	171.211
186.944	180.351
194.652	186.524
209.208	204.008
224.148	217.493
242.08	231.978
249.617	239.458
260.669	250.316
271.001	260.061
288.724	275.354
297.495	283.606
309.253	295.171
320.246	308.782
328.374	317.049
338.693	328.317
349.463	341.964
352.905	361.832
353.555	380.727
353.334	387.346
350.688	406.425
329.318	410.666
317.849	412.691
297.469	416.651
275.14	420.545
260.858	422.302
249.748	423.474
230.97	427.244
207.731	429.922
185.411	433.872
180.262	436.252
162.124	440.687
139.966	445.482
116.811	449.372
101.631	454.508
84.6567	459.165
68.9386	465.158
48.1114	468.865
25	475
