First viable solution . This file contains vector of points of the generated path.
X	Y
471.236	20.1634
456.777	32.2295
437.7	43.4187
432.178	43.3684
411.467	42.4008
391.566	44.2797
374.546	38.5356
364.553	38.906
346.509	44.297
326.373	45.6884
310.315	55.3869
285.862	54.8175
265.366	54.79
246.212	51.7823
222.706	45.9409
207.909	56.8674
192.522	60.9542
183.036	75.5643
163.209	90.3232
150.963	94.7388
147.357	110.805
138.948	118.715
136.048	137.253
139.288	146.713
155.496	159.496
171.158	161.098
186.441	174.035
194.818	194.28
218.53	200.842
225.477	211.993
243.4	219.947
250.246	239.875
253.861	244.714
271.001	260.061
286.789	270.063
302.688	279.747
319.237	295.744
334.734	312.61
349.757	329.016
353.504	340.176
359.411	355.476
355.381	380.111
355.479	400.847
339.747	401.461
326.576	402.189
310.589	401.9
290.73	403.767
279.11	403.81
262.895	403.764
243.301	405.341
233.397	403.958
214.468	402.58
198.977	402.29
184.949	403.167
162.524	403.055
146	404.141
123.412	406.929
119.779	409.089
112.94	414.081
90.9826	422.986
74.6423	435.329
60.1378	449.421
46.623	460.136
32.6831	468.599
25	475
